Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total,Mbps (Media de bajada),,
2020,1,Misiones,71,524,36622,21271,26433,11581,26313,10885,133700,22.15,,
2020,1,Neuquén,218,327,60152,5257,7123,5399,43738,0,122214,27.77,,
2020,1,Río Negro,114,466,69154,2930,7857,3199,25488,17719,126927,19.06,,
2020,1,Salta,129,514,38537,63714,17991,8625,34744,6441,170695,21.43,,
2020,1,San Juan,48,194,59787,1594,1292,40,127,4779,67861,6.04,,
2020,1,San Luis,105,0,11322,4164,525,58258,5,36075,110454,20.99,,
2020,1,Santa Cruz,67,11,27447,4993,5169,529,119,0,38335,6.42,,
2020,1,Santa Fe,696,2994,217553,196826,104560,48448,173823,17656,762556,22.42,,
2020,1,Santiago Del Estero,133,1779,33086,56884,3737,135,2799,4501,103054,10,,
2020,1,Tierra Del Fuego,11,1,22976,5024,1834,196,518,7046,37606,7.41,,
2020,1,Tucumán,52,97,49555,50383,31096,1730,67536,0,200449,32.25,,
2019,4,Buenos Aires,33489,27537,1177446,262297,247106,452570,1465133,20676,3686254,30.77,,
2019,4,Capital Federal,307,15,177098,110218,110852,205810,753805,0,1358105,44.2,,
2019,4,Catamarca,63,0,9945,7619,9305,804,7477,3098,38311,24.88,,
2019,4,Chaco,83,0,25899,18959,30902,13516,21556,6988,117903,23.37,,
2019,4,Chubut,158,4,69405,12945,7615,1240,614,4121,96102,6.99,,
2019,4,Córdoba,142,0,232781,118232,109330,114111,221742,10350,806688,26.16,,
2019,4,Corrientes,72,0,35055,20620,27367,9981,15744,4995,113834,19.26,,
2019,4,Entre Ríos,47,0,88203,44511,42962,18976,30153,14178,239030,17.01,,
2019,4,Formosa,1127,191,24606,6319,6788,1766,5671,243,46711,14.53,,
2019,4,Jujuy,55,0,32920,9632,26764,102,5286,14122,88881,12.96,,
2019,4,La Pampa,293,313,76747,6900,1951,1287,1342,1566,90399,6.53,,
2019,4,La Rioja,21,0,37846,5045,4763,22,1305,0,49002,8,,
2019,4,Mendoza,746,9,145139,12955,15237,2165,2628,6901,185780,7.79,,
2019,4,Misiones,71,0,39664,20840,27305,15626,20799,11508,135813,20.32,,
2019,4,Neuquén,218,1,57370,4439,7357,12059,35001,0,116445,26.02,,
2019,4,Río Negro,114,0,71847,2797,8558,6968,19837,17019,127140,17.18,,
2019,4,Salta,149,1,42159,67656,15369,14170,25821,7120,172445,19.08,,
2019,4,San Juan,48,1,60626,1594,1292,40,127,1246,64974,6.04,,
2019,4,San Luis,105,0,11901,4164,525,55216,3,36287,108201,20.69,,
2019,4,Santa Cruz,67,0,32368,4346,2224,7,8,350,39370,5.21,,
2019,4,Santa Fe,698,0,230234,190664,113527,70998,135576,27472,769169,20.55,,
